Tier,Game,Original price,Now,Saved $,Discount %,Review % positive,Reviews,Review label,Store URL
A,Dying Light - The Bozak Horde,$18.00,$3.60,14.4,80,56,1422,mixed,https://store.steampowered.com/app/325723/
A,Battle Chasers: Nightwar,$17.99,$3.59,14.4,80,85,2453,positive,https://store.steampowered.com/app/451020/
A,The Escapists: The Walking Dead,$17.99,$1.79,16.2,90,63,741,mixed,https://store.steampowered.com/app/388060/
A,Sweet Transit,$17.49,$3.49,14.0,80,67,1120,mixed,https://store.steampowered.com/app/1612770/
A,Worms Ultimate Mayhem,$16.99,$3.39,13.6,80,86,1667,positive,https://store.steampowered.com/app/70600/
A,Metamorphosis,$16.99,$3.39,13.6,80,83,467,positive,https://store.steampowered.com/app/1025410/
A,Company of Heroes - Legacy Edition,$16.49,$3.29,13.2,80,93,2727,positive,https://store.steampowered.com/app/4560/
A,Nickelodeon All-Star Brawl 2,$15.99,$1.59,14.4,90,81,1014,positive,https://store.steampowered.com/app/2017080/
A,SNK HEROINES Tag Team Frenzy,$15.99,$2.39,13.6,85,72,892,positive,https://store.steampowered.com/app/794580/
A,Headbangers: Rhythm Royale,$15.99,$3.19,12.8,80,69,983,mixed,https://store.steampowered.com/app/1761620/
A,The Walking Dead: Destinies,$15.99,$3.19,12.8,80,41,709,mixed,https://store.steampowered.com/app/2192790/
A,THE KING OF FIGHTERS '98 ULTIMATE MATCH FINAL EDITION,$14.99,$2.24,12.75,85,92,701,positive,https://store.steampowered.com/app/222420/
A,Torchlight,$14.99,$2.99,12.0,80,91,3481,positive,https://store.steampowered.com/app/41500/
A,Assassin’s Creed® Rogue,$14.99,$2.99,12.0,80,86,7728,positive,https://store.steampowered.com/app/311560/
A,Akimbot,$14.99,$1.49,13.5,90,82,765,positive,https://store.steampowered.com/app/1843540/
A,Outcast - Second Contact,$14.99,$1.49,13.5,90,82,738,positive,https://store.steampowered.com/app/618970/
