Game,Discount %,Original,Final,Review % positive,Reviews,Review label,Store URL
Psychiatrist Simulator 2,84,$2.99,$0.47,,,,https://store.steampowered.com/app/2724740/
Musician Simulator,84,$2.99,$0.47,,,,https://store.steampowered.com/app/3006010/
The Territory of Egg 2,84,$2.99,$0.47,,,,https://store.steampowered.com/app/2863780/
Beat Miner,84,$2.99,$0.47,,,,https://store.steampowered.com/app/769540/
Battle for Mountain Throne,84,$2.99,$0.47,,,,https://store.steampowered.com/app/759840/
Zodiakalik,84,$2.99,$0.47,,,,https://store.steampowered.com/app/1386460/
Conflict of Lords,84,$2.99,$0.47,,,,https://store.steampowered.com/app/2577520/
The Land of Magic - Deluxe Edition,84,$2.99,$0.47,,,,https://store.steampowered.com/app/2883680/
Interwoven Emotions,84,$2.99,$0.47,,,,https://store.steampowered.com/app/2942130/
Nocturne Island Obscuria,84,$2.99,$0.47,,,,https://store.steampowered.com/app/3102660/
Pandora,84,$2.99,$0.47,,,,https://store.steampowered.com/app/2460910/
WorldShadow,84,$2.99,$0.47,,,,https://store.steampowered.com/app/3154890/
WEJAM,84,$3.49,$0.55,83,12,positive,https://store.steampowered.com/app/1094110/
Pantsu Hunter: Back to the 90s,84,$4.99,$0.79,80,243,positive,https://store.steampowered.com/app/953900/
Bibou Quest,84,$4.99,$0.79,93,16,positive,https://store.steampowered.com/app/1554460/
Tupã,84,$4.99,$0.79,54,11,mixed,https://store.steampowered.com/app/664630/
Fish's Trip,84,$4.99,$0.79,30,10,negative,https://store.steampowered.com/app/701960/
JumpBall 2,84,$4.99,$0.79,,,,https://store.steampowered.com/app/750870/
Kabitis 2: Fire Sword,84,$4.99,$0.79,,,,https://store.steampowered.com/app/1018700/
Violet Kingdom,84,$8.19,$1.31,96,25,positive,https://store.steampowered.com/app/2650010/
White Bridge,84,$8.19,$1.31,100,38,positive,https://store.steampowered.com/app/3131910/
GOD WARS The Complete Legend,84,$12.79,$2.00,68,190,mixed,https://store.steampowered.com/app/1038810/
Nature & Life - Drunk On Nectar,84,$14.99,$2.39,87,264,positive,https://store.steampowered.com/app/512460/
Dragon's Dogma: Dark Arisen,84,$23.99,$3.83,88,22264,positive,https://store.steampowered.com/app/367500/
SOULCALIBUR VI,84,$28.99,$4.63,83,5785,positive,https://store.steampowered.com/app/544750/
Iron Harvest - Iron Harvest 1920+,84,$34.41,$5.39,82,88,positive,https://store.steampowered.com/app/1628070/
Don't Disturb,83,$2.69,$0.45,85,510,positive,https://store.steampowered.com/app/501840/
Butterfly,83,$2.99,$0.50,89,38,positive,https://store.steampowered.com/app/1017610/
NARK THE DRAGON,83,$3.99,$0.67,60,33,mixed,https://store.steampowered.com/app/763740/
The Shapeshifting Detective,83,$6.99,$1.18,77,1169,positive,https://store.steampowered.com/app/898650/
I Saw Black Clouds,83,$6.99,$1.18,61,606,mixed,https://store.steampowered.com/app/1346830/
Night Book,83,$6.99,$1.18,67,526,mixed,https://store.steampowered.com/app/1477920/
The Last Worker,83,$8.19,$1.39,63,46,mixed,https://store.steampowered.com/app/1579280/
Burning Ball,83,$8.49,$1.44,91,12,positive,https://store.steampowered.com/app/1568070/
Russian Reality,83,$10.99,$1.86,66,15,mixed,https://store.steampowered.com/app/1470730/
Blobby Coins - The Board Game,82,$2.56,$0.46,,,,https://store.steampowered.com/app/4695280/
Swords & Bones 3,82,$2.99,$0.53,88,27,positive,https://store.steampowered.com/app/2280910/
Magnus Failure,82,$2.99,$0.53,73,26,positive,https://store.steampowered.com/app/1598970/
GOD WARS The Complete Legend - Beginners Support Set,82,$3.49,$0.62,,,,https://store.steampowered.com/app/1066050/
"Cybersoul: Rads, Spies & Lovers",82,$4.49,$0.80,,,,https://store.steampowered.com/app/4399730/
Warehouse Simulator: Forklift Driver,82,$5.89,$1.06,62,43,mixed,https://store.steampowered.com/app/1885640/
VR Slugger: The Toy Baseball Field,82,$6.19,$1.11,81,27,positive,https://store.steampowered.com/app/616890/
Aqua Panic !,82,$7.99,$1.43,92,14,positive,https://store.steampowered.com/app/340700/
Storm,82,$9.99,$1.79,68,66,mixed,https://store.steampowered.com/app/231020/
Wanted Corp.,82,$11.99,$2.15,53,13,mixed,https://store.steampowered.com/app/340560/
Dangerous Level,81,$2.49,$0.47,77,31,positive,https://store.steampowered.com/app/779800/
Cemetery Warrior V,81,$2.49,$0.47,71,32,positive,https://store.steampowered.com/app/1609440/
Bicycle Rider Simulator,81,$2.49,$0.47,43,71,mixed,https://store.steampowered.com/app/1903400/
Psychiatrist Simulator,81,$2.49,$0.47,50,24,mixed,https://store.steampowered.com/app/791590/
Nightmare Simulator,81,$2.49,$0.47,50,12,mixed,https://store.steampowered.com/app/809790/
Freelancer Life Simulator,81,$2.49,$0.47,25,32,negative,https://store.steampowered.com/app/1362340/
Crazy Mosquito Simulator,81,$2.49,$0.47,,,,https://store.steampowered.com/app/1008390/
Stoirs VR,81,$2.49,$0.47,,,,https://store.steampowered.com/app/1352870/
Bad Run - Turbo Edition,81,$2.49,$0.47,,,,https://store.steampowered.com/app/1285070/
8-Colors Star Guardians +,81,$2.99,$0.56,94,73,positive,https://store.steampowered.com/app/2483150/
Dungeon Crawler Daniel,81,$2.99,$0.56,84,19,positive,https://store.steampowered.com/app/1664010/
Cthulhu Saves Christmas,81,$5.49,$1.04,90,293,positive,https://store.steampowered.com/app/1057540/
This Way Madness Lies,81,$5.49,$1.04,88,154,positive,https://store.steampowered.com/app/1318970/
Ragdoll: Fall Simulator,81,$5.49,$1.04,76,82,positive,https://store.steampowered.com/app/1524400/
Underwater,81,$5.49,$1.04,72,62,positive,https://store.steampowered.com/app/1676200/
Cosmic Star Heroine,81,$6.99,$1.32,89,821,positive,https://store.steampowered.com/app/256460/
Skeletos Sword,81,$9.99,$1.89,82,17,positive,https://store.steampowered.com/app/2999780/
The Defaloon,81,$9.99,$1.89,69,13,mixed,https://store.steampowered.com/app/1838560/
Espire 1: VR Operative,81,$28.63,$5.40,54,381,mixed,https://store.steampowered.com/app/669290/
Tree Simulator 2023,80,$2.49,$0.49,95,671,positive,https://store.steampowered.com/app/1916970/
EARTH'S DAWN,80,$2.49,$0.49,73,205,positive,https://store.steampowered.com/app/494600/
Deadly Sin 2,80,$2.49,$0.49,85,56,positive,https://store.steampowered.com/app/285420/
Poubelle City,80,$2.49,$0.49,100,11,positive,https://store.steampowered.com/app/3856700/
Pale Echoes,80,$2.49,$0.49,80,31,positive,https://store.steampowered.com/app/377190/
Sentenced VR,80,$2.49,$0.49,70,55,positive,https://store.steampowered.com/app/1111830/
Space Empires III,80,$2.49,$0.49,82,45,positive,https://store.steampowered.com/app/1430200/
Waiting in the Lime forest,80,$2.49,$0.49,68,66,mixed,https://store.steampowered.com/app/2690110/
Beautiful Ukraine,80,$2.49,$0.49,95,22,positive,https://store.steampowered.com/app/1991010/
O.R.B: Off-World Resource Base,80,$2.49,$0.49,79,101,positive,https://store.steampowered.com/app/281390/
Princess Isabella - Return of the Curse,80,$2.49,$0.49,79,78,positive,https://store.steampowered.com/app/292670/
Kingdom Run VR,80,$2.49,$0.49,75,12,positive,https://store.steampowered.com/app/2255080/
The Princess' Heart,80,$2.49,$0.49,51,37,mixed,https://store.steampowered.com/app/378830/
Escape The Museum,80,$2.49,$0.49,44,68,mixed,https://store.steampowered.com/app/298020/
Voodoo Whisperer Curse of a Legend,80,$2.49,$0.49,55,77,mixed,https://store.steampowered.com/app/288830/
Robonauts,80,$2.49,$0.49,56,16,mixed,https://store.steampowered.com/app/562620/
Veranoia: Nightmare of Case 37,80,$2.49,$0.49,80,26,positive,https://store.steampowered.com/app/2709220/
Robowars,80,$2.49,$0.49,30,20,negative,https://store.steampowered.com/app/285090/
Soldiers Of Freedom,80,$2.49,$0.49,13,15,negative,https://store.steampowered.com/app/696500/
Aveyond 4: Shadow of the Mist - Strategy Guide,80,$2.49,$0.49,,,,https://store.steampowered.com/app/434950/
Super Jigsaw Puzzle: Generations - Waterfalls Puzzles,80,$2.49,$0.49,,,,https://store.steampowered.com/app/1056627/
Dig & Decode,80,$2.49,$0.49,,,,https://store.steampowered.com/app/3603570/
3 Stars of Destiny - Official Guide,80,$2.49,$0.49,,,,https://store.steampowered.com/app/366730/
Super Jigsaw Puzzle: Generations - Halloween Puzzles,80,$2.49,$0.49,,,,https://store.steampowered.com/app/1080591/
Cyber Arena,80,$2.49,$0.49,,,,https://store.steampowered.com/app/733230/
Super Jigsaw Puzzle: Generations - New York Puzzles,80,$2.49,$0.49,,,,https://store.steampowered.com/app/1246189/
Monkey Milk,80,$2.49,$0.49,,,,https://store.steampowered.com/app/2082290/
Downroll,80,$2.49,$0.49,,,,https://store.steampowered.com/app/1837870/
Ball Twist,80,$2.49,$0.49,,,,https://store.steampowered.com/app/1623220/
Super Jigsaw Puzzle: Generations - Iceland,80,$2.49,$0.49,,,,https://store.steampowered.com/app/1542570/
Super Jigsaw Puzzle: Generations - Rodents,80,$2.49,$0.49,,,,https://store.steampowered.com/app/1542571/
PenBall,80,$2.49,$0.49,,,,https://store.steampowered.com/app/1850620/
Moto Roller,80,$2.49,$0.49,,,,https://store.steampowered.com/app/1830740/
Color Ball,80,$2.49,$0.49,,,,https://store.steampowered.com/app/1810720/
Mathomatics,80,$2.49,$0.49,,,,https://store.steampowered.com/app/1847200/
Navy Strike,80,$2.49,$0.49,,,,https://store.steampowered.com/app/1644810/
Super Jigsaw Puzzle: Generations - Australia Puzzles,80,$2.49,$0.49,,,,https://store.steampowered.com/app/1244700/
Super Jigsaw Puzzle: Generations - Brazil Puzzles,80,$2.49,$0.49,,,,https://store.steampowered.com/app/1246180/
Super Jigsaw Puzzle: Generations - Germany Puzzles,80,$2.49,$0.49,,,,https://store.steampowered.com/app/1246187/
Super Jigsaw Puzzle: Generations - Horses Puzzles,80,$2.49,$0.49,,,,https://store.steampowered.com/app/1246188/
Super Jigsaw Puzzle: Generations - Monkeys & Apes Puzzles,80,$2.49,$0.49,,,,https://store.steampowered.com/app/1246190/
In Shape 2,80,$2.49,$0.49,,,,https://store.steampowered.com/app/1814100/
Car Puzzle: Round Ways,80,$2.49,$0.49,,,,https://store.steampowered.com/app/876960/
Super Jigsaw Puzzle: Generations - Christmas Puzzles,80,$2.49,$0.49,,,,https://store.steampowered.com/app/1082032/
Super Jigsaw Puzzle: Generations - Spring Puzzles,80,$2.49,$0.49,,,,https://store.steampowered.com/app/1073680/
Last Definitive Fantasy,80,$2.49,$0.49,,,,https://store.steampowered.com/app/2715970/
House Tidy,80,$2.49,$0.49,,,,https://store.steampowered.com/app/4288050/
Three Doors,80,$2.49,$0.49,,,,https://store.steampowered.com/app/4378160/
Overboss,80,$2.55,$0.51,44,50,mixed,https://store.steampowered.com/app/2109390/
Sokoban Land DX,80,$2.69,$0.53,75,16,positive,https://store.steampowered.com/app/670850/
Storm Burst: Tornado Alley,80,$2.69,$0.53,65,20,mixed,https://store.steampowered.com/app/3438630/
祛魅·入灭（祛魅2）,80,$2.69,$0.53,67,43,mixed,https://store.steampowered.com/app/972200/
WILOO,80,$2.69,$0.53,45,11,mixed,https://store.steampowered.com/app/673010/
The Thrill Of The Fight 2 - Puma Original Red Shorts,80,$2.69,$0.53,,,,https://store.steampowered.com/app/4933030/
The Thrill Of The Fight 2 - Puma Original Black Shorts,80,$2.69,$0.53,,,,https://store.steampowered.com/app/4932990/
The Thrill Of The Fight 2 - Puma Original Red Top,80,$2.69,$0.53,,,,https://store.steampowered.com/app/4933020/
The Thrill Of The Fight 2 - Puma Original Special Edition Black Shorts,80,$2.69,$0.53,,,,https://store.steampowered.com/app/4933070/
The Thrill Of The Fight 2 - Puma Original Special Edition Red Top,80,$2.69,$0.53,,,,https://store.steampowered.com/app/4885250/
The Thrill Of The Fight 2 - Puma Original Special Edition Red Shorts,80,$2.69,$0.53,,,,https://store.steampowered.com/app/4885240/
The Thrill Of The Fight 2 - Puma Original Special Edition Red Shoes,80,$2.69,$0.53,,,,https://store.steampowered.com/app/4885230/
The Thrill Of The Fight 2 - Puma Original Special Edition Black Shoes,80,$2.69,$0.53,,,,https://store.steampowered.com/app/4933080/
The Thrill Of The Fight 2 - Puma Original Special Edition Black Top,80,$2.69,$0.53,,,,https://store.steampowered.com/app/4933060/
The Thrill Of The Fight 2 - Puma Original Red Shoes,80,$2.69,$0.53,,,,https://store.steampowered.com/app/4933040/
The Thrill Of The Fight 2 - Puma Original Black Top,80,$2.69,$0.53,,,,https://store.steampowered.com/app/4932980/
The Thrill Of The Fight 2 - Puma Original Black Shoes,80,$2.69,$0.53,,,,https://store.steampowered.com/app/4933000/
Surviving with a Bat,80,$2.69,$0.53,,,,https://store.steampowered.com/app/2703130/
Wanderlust: Transsiberian,80,$2.99,$0.59,63,49,mixed,https://store.steampowered.com/app/1233420/
Frostpunk: The Rifts,80,$2.99,$0.59,57,483,mixed,https://store.steampowered.com/app/1125020/
Eyes: The Horror Game,80,$2.99,$0.59,90,932,positive,https://store.steampowered.com/app/2633640/
The Making of Streets of Rogue,80,$2.99,$0.59,89,28,positive,https://store.steampowered.com/app/1064720/
112 Operator - Facilities,80,$2.99,$0.59,81,60,positive,https://store.steampowered.com/app/1300851/
Monsters' Den: Book of Dread,80,$2.99,$0.59,94,257,positive,https://store.steampowered.com/app/502230/
UberSoldier,80,$2.99,$0.59,83,288,positive,https://store.steampowered.com/app/2905090/
Submarine Titans,80,$2.99,$0.59,86,348,positive,https://store.steampowered.com/app/1259380/
MagiCat,80,$2.99,$0.59,90,425,positive,https://store.steampowered.com/app/656970/
Awareness Rooms,80,$2.99,$0.59,81,555,positive,https://store.steampowered.com/app/453290/
Hole io,80,$2.99,$0.59,59,217,mixed,https://store.steampowered.com/app/2751230/
Boogeyman 2,80,$2.99,$0.59,80,344,positive,https://store.steampowered.com/app/567130/
Knight Bewitched,80,$2.99,$0.59,92,153,positive,https://store.steampowered.com/app/815150/
Ouroboros,80,$2.99,$0.59,93,147,positive,https://store.steampowered.com/app/822830/
Boogeyman,80,$2.99,$0.59,79,599,positive,https://store.steampowered.com/app/412770/
Murasaki,80,$2.99,$0.59,92,126,positive,https://store.steampowered.com/app/392030/
Rustler - Vinci,80,$2.99,$0.59,94,18,positive,https://store.steampowered.com/app/1628880/
Rustler - Murder Madness,80,$2.99,$0.59,85,14,positive,https://store.steampowered.com/app/1628870/
Divide By Sheep,80,$2.99,$0.59,93,478,positive,https://store.steampowered.com/app/252130/
Castle Break,80,$2.99,$0.59,95,81,positive,https://store.steampowered.com/app/1018130/
Johnny Trigger,80,$2.99,$0.59,90,66,positive,https://store.steampowered.com/app/2751320/
If My Heart Had Wings - Original Sound Track,80,$2.99,$0.59,95,92,positive,https://store.steampowered.com/app/340080/
Whispers in the Moss,80,$2.99,$0.59,100,23,positive,https://store.steampowered.com/app/1944310/
Party Tycoon,80,$2.99,$0.59,46,303,mixed,https://store.steampowered.com/app/513330/
Johnny Trigger: Sniper,80,$2.99,$0.59,85,49,positive,https://store.steampowered.com/app/2866120/
Paper io 2,80,$2.99,$0.59,79,91,positive,https://store.steampowered.com/app/2751310/
Boogeyman 3,80,$2.99,$0.59,73,19,positive,https://store.steampowered.com/app/2505090/
Super Jigsaw Puzzle,80,$2.99,$0.59,87,130,positive,https://store.steampowered.com/app/792650/
Metal as Phuk,80,$2.99,$0.59,95,236,positive,https://store.steampowered.com/app/662210/
Jack N' Jill DX,80,$2.99,$0.59,93,79,positive,https://store.steampowered.com/app/873560/
Awesome Pea,80,$2.99,$0.59,82,94,positive,https://store.steampowered.com/app/916950/
Awesome Pea 2,80,$2.99,$0.59,88,52,positive,https://store.steampowered.com/app/1200420/
Helix Jump,80,$2.99,$0.59,93,29,positive,https://store.steampowered.com/app/2751330/
Knight Bewitched 2,80,$2.99,$0.59,100,31,positive,https://store.steampowered.com/app/1308250/
TorqueL,80,$2.99,$0.59,87,41,positive,https://store.steampowered.com/app/250070/
TIRELESS: Prepare For The Adrenaline,80,$2.99,$0.59,84,32,positive,https://store.steampowered.com/app/959800/
Golf Guys,80,$2.99,$0.59,80,20,positive,https://store.steampowered.com/app/2751350/
Pocket Mini Golf,80,$2.99,$0.59,84,13,positive,https://store.steampowered.com/app/2631610/
Frosty Nights,80,$2.99,$0.59,71,229,positive,https://store.steampowered.com/app/733800/
Astro Miner,80,$2.99,$0.59,76,46,positive,https://store.steampowered.com/app/2751340/
Shephy,80,$2.99,$0.59,74,187,positive,https://store.steampowered.com/app/651340/
Vertical Strike Endless Challenge,80,$2.99,$0.59,76,234,positive,https://store.steampowered.com/app/313390/
Magnus Positive Phototaxis,80,$2.99,$0.59,88,34,positive,https://store.steampowered.com/app/2135970/
Infantry Attack,80,$2.99,$0.59,81,32,positive,https://store.steampowered.com/app/2791700/
Sausage Wars,80,$2.99,$0.59,85,20,positive,https://store.steampowered.com/app/2290210/
Mob Control,80,$2.99,$0.59,64,107,mixed,https://store.steampowered.com/app/2736490/
Active Neurons - Puzzle game,80,$2.99,$0.59,95,43,positive,https://store.steampowered.com/app/1168630/
Bucket Crusher,80,$2.99,$0.59,92,39,positive,https://store.steampowered.com/app/2885230/
Pocket Mini Golf 2,80,$2.99,$0.59,87,16,positive,https://store.steampowered.com/app/2285980/
Run Sausage Run!,80,$2.99,$0.59,93,29,positive,https://store.steampowered.com/app/2324300/
Bucket Knight,80,$2.99,$0.59,82,47,positive,https://store.steampowered.com/app/1077090/
Clarent Saga: Prologue,80,$2.99,$0.59,90,10,positive,https://store.steampowered.com/app/2574690/
Aquarium Land,80,$2.99,$0.59,82,23,positive,https://store.steampowered.com/app/2583540/
Light-It Up,80,$2.99,$0.59,85,21,positive,https://store.steampowered.com/app/2644820/
Active Neurons 2,80,$2.99,$0.59,93,15,positive,https://store.steampowered.com/app/1274910/
Coma HD,80,$2.99,$0.59,70,17,positive,https://store.steampowered.com/app/1317970/
Mythos: The Beginning - Director's Cut,80,$2.99,$0.59,73,52,positive,https://store.steampowered.com/app/325320/
City Climber,80,$2.99,$0.59,76,368,positive,https://store.steampowered.com/app/538840/
Evil Robot Traffic Jam HD,80,$2.99,$0.59,75,16,positive,https://store.steampowered.com/app/404390/
Awesome Pea 3,80,$2.99,$0.59,73,15,positive,https://store.steampowered.com/app/2247630/
Seeds of Resilience,80,$2.95,$0.59,66,257,mixed,https://store.steampowered.com/app/877080/
The Nom,80,$2.99,$0.59,75,29,positive,https://store.steampowered.com/app/2771320/
ASMR Slicing,80,$2.99,$0.59,75,73,positive,https://store.steampowered.com/app/2841130/
Super Jigsaw Puzzle: Cities,80,$2.99,$0.59,94,87,positive,https://store.steampowered.com/app/862110/
In Vitra - JRPG Adventure,80,$2.99,$0.59,57,35,mixed,https://store.steampowered.com/app/563270/
Mercenary Battle Company: The Reapers,80,$2.99,$0.59,50,22,mixed,https://store.steampowered.com/app/2612870/
Garshasp: The Monster Slayer,80,$2.99,$0.59,49,246,mixed,https://store.steampowered.com/app/99400/
Neurodeck : Psychological Deckbuilder,80,$2.95,$0.59,50,169,mixed,https://store.steampowered.com/app/1253860/
Hacker Evolution: Untold,80,$2.99,$0.59,64,191,mixed,https://store.steampowered.com/app/70110/
Armor Clash II,80,$2.99,$0.59,61,110,mixed,https://store.steampowered.com/app/562420/
Chained: A Victorian Nightmare,80,$2.99,$0.59,64,34,mixed,https://store.steampowered.com/app/1198700/
X-Team,80,$2.99,$0.59,55,20,mixed,https://store.steampowered.com/app/290850/
Legionwood 2: Rise of the Eternal's Realm - Director's Cut,80,$2.99,$0.59,61,21,mixed,https://store.steampowered.com/app/290460/
Whisper Trip,80,$2.99,$0.59,60,90,mixed,https://store.steampowered.com/app/1551920/
Gallic Wars: Battle Simulator,80,$2.99,$0.59,48,29,mixed,https://store.steampowered.com/app/1067760/
Honor and Duty: D-Day,80,$2.99,$0.59,41,12,mixed,https://store.steampowered.com/app/1316000/
Super Jigsaw Puzzle: Space,80,$2.99,$0.59,89,29,positive,https://store.steampowered.com/app/951700/
Super Jigsaw Puzzle: Monuments,80,$2.99,$0.59,95,41,positive,https://store.steampowered.com/app/878250/
Lazarus A.D. 2222,80,$2.99,$0.59,92,13,positive,https://store.steampowered.com/app/2451460/
InkSplosion,80,$2.99,$0.59,77,18,positive,https://store.steampowered.com/app/827450/
Knighventure,80,$2.99,$0.59,78,14,positive,https://store.steampowered.com/app/3768030/
Funeral,80,$2.99,$0.59,65,29,mixed,https://store.steampowered.com/app/2157070/
Bouncy Bob: Episode 2,80,$2.99,$0.59,63,11,mixed,https://store.steampowered.com/app/1117330/
Pixel Puzzles 4k: Japan,80,$2.99,$0.59,57,14,mixed,https://store.steampowered.com/app/1126880/
Athena Trivia,80,$2.99,$0.59,61,13,mixed,https://store.steampowered.com/app/1225660/
Toon Ocean VR,80,$2.99,$0.59,58,17,mixed,https://store.steampowered.com/app/519160/
Konbini Simulator,80,$2.99,$0.59,37,16,negative,https://store.steampowered.com/app/4041940/
Garshasp: Temple of the Dragon,80,$2.99,$0.59,29,82,negative,https://store.steampowered.com/app/99410/
Tropical Girls VR,80,$2.99,$0.59,35,31,negative,https://store.steampowered.com/app/534480/
VR Boxing Workout,80,$2.99,$0.59,27,11,negative,https://store.steampowered.com/app/494380/
Crime Shop Simulator - Grind and Shine,80,$2.99,$0.59,,,,https://store.steampowered.com/app/4200010/
Crime Shop Simulator - Stitchin' Rich,80,$2.99,$0.59,,,,https://store.steampowered.com/app/3998130/
Legendary Heroes,80,$2.99,$0.59,,,,https://store.steampowered.com/app/2000490/
Super Jigsaw Puzzle: Generations - Beaches Puzzles,80,$2.99,$0.59,,,,https://store.steampowered.com/app/1056628/
MT Force Aliens Uprising,80,$2.99,$0.59,,,,https://store.steampowered.com/app/1559190/
Struggle For Talyria,80,$2.99,$0.59,,,,https://store.steampowered.com/app/767800/
Super Jigsaw Puzzle: Generations - Motorbikes Puzzles,80,$2.99,$0.59,,,,https://store.steampowered.com/app/1076091/
Super Jigsaw Puzzle: Generations - Autumn Puzzles,80,$2.99,$0.59,,,,https://store.steampowered.com/app/1080031/
Paradise Corner,80,$2.99,$0.59,,,,https://store.steampowered.com/app/4279140/
Strangers of the Power 3,80,$2.99,$0.59,,,,https://store.steampowered.com/app/1019270/
D-Day Invasions,80,$2.99,$0.59,,,,https://store.steampowered.com/app/2818600/
Pop Some Eyes,80,$2.99,$0.59,,,,https://store.steampowered.com/app/2314950/
System Critical: The Race Against Time,80,$2.99,$0.59,,,,https://store.steampowered.com/app/1848470/
Fuzzy Flip - Matching Game,80,$2.99,$0.59,,,,https://store.steampowered.com/app/2497450/
pleXus VR,80,$2.99,$0.59,,,,https://store.steampowered.com/app/1481710/
Sprout Valley - Friends Forever,80,$2.99,$0.59,,,,https://store.steampowered.com/app/3405870/
Knowledge Keeper,80,$2.99,$0.59,,,,https://store.steampowered.com/app/3003850/
DANGER: ELECTRIC SHOCK,80,$2.99,$0.59,,,,https://store.steampowered.com/app/1723920/
Super Jigsaw Puzzle: Generations - France Puzzles,80,$2.99,$0.59,,,,https://store.steampowered.com/app/1246182/
Bubbbles,80,$2.99,$0.59,,,,https://store.steampowered.com/app/2130170/
Super Jigsaw Puzzle: Generations - Paris,80,$2.99,$0.59,,,,https://store.steampowered.com/app/2023092/
Tetsumo Party,80,$2.99,$0.59,,,,https://store.steampowered.com/app/1006120/
WakaVR,80,$2.99,$0.59,,,,https://store.steampowered.com/app/2268200/
Castle Greyrot,80,$2.99,$0.59,,,,https://store.steampowered.com/app/1622010/
STARSHIP AVENGER Operation: Take Back Earth/スターシップアベンジャー 地球奪還大作戦,80,$2.99,$0.59,,,,https://store.steampowered.com/app/879100/
Soulpath: the final journey,80,$2.99,$0.59,,,,https://store.steampowered.com/app/1380660/
Pixel Puzzles Illustrations & Anime - Jigsaw Pack: Geishas,80,$2.99,$0.59,,,,https://store.steampowered.com/app/1577789/
Tiny Company,80,$2.99,$0.59,,,,https://store.steampowered.com/app/3786150/
War in the Gulf,80,$2.99,$0.59,,,,https://store.steampowered.com/app/2021570/
Infecto,80,$2.99,$0.59,,,,https://store.steampowered.com/app/815800/
Wraithmind,80,$2.99,$0.59,,,,https://store.steampowered.com/app/739820/
Head It!: VR Soccer Heading Game,80,$2.99,$0.59,,,,https://store.steampowered.com/app/543110/
Armor Clash VR,80,$2.99,$0.59,,,,https://store.steampowered.com/app/510700/
Dice Keeper,80,$2.99,$0.59,,,,https://store.steampowered.com/app/1047020/
Super Jigsaw Puzzle: Generations - Original SJP,80,$2.99,$0.59,,,,https://store.steampowered.com/app/1051520/
Super Jigsaw Puzzle: Generations - SJP Cities Puzzles,80,$2.99,$0.59,,,,https://store.steampowered.com/app/1056620/
Super Jigsaw Puzzle: Generations - SJP Monuments Puzzles,80,$2.99,$0.59,,,,https://store.steampowered.com/app/1056621/
Super Jigsaw Puzzle: Generations - SJP Space Puzzles,80,$2.99,$0.59,,,,https://store.steampowered.com/app/1056622/
Martian Potato,80,$2.99,$0.59,,,,https://store.steampowered.com/app/1317850/
Pixel Puzzles Illustrations & Anime - Jigsaw Pack: Mechs,80,$2.99,$0.59,,,,https://store.steampowered.com/app/1577786/
Cannibal Chickens,80,$2.99,$0.59,,,,https://store.steampowered.com/app/1077390/
Super Jigsaw Puzzle: Generations - Italy Puzzles,80,$2.99,$0.59,,,,https://store.steampowered.com/app/1080030/
Super Jigsaw Puzzle: Generations - Bears Puzzles,80,$2.99,$0.59,,,,https://store.steampowered.com/app/1080032/
Super Jigsaw Puzzle: Generations - Spain Puzzles,80,$2.99,$0.59,,,,https://store.steampowered.com/app/1238210/
Nexagon: Deathmatch,80,$2.99,$0.59,,,,https://store.steampowered.com/app/1329810/
Super Jigsaw Puzzle: Generations - Mexico Puzzles,80,$2.99,$0.59,,,,https://store.steampowered.com/app/1082030/
Super Jigsaw Puzzle: Generations - Boats Puzzles,80,$2.99,$0.59,,,,https://store.steampowered.com/app/1243680/
Super Jigsaw Puzzle: Generations - Paintings Puzzles,80,$2.99,$0.59,,,,https://store.steampowered.com/app/1246183/
Super Jigsaw Puzzle: Generations - Snakes Puzzles,80,$2.99,$0.59,,,,https://store.steampowered.com/app/1246184/
Super Jigsaw Puzzle: Generations - Russia Puzzles,80,$2.99,$0.59,,,,https://store.steampowered.com/app/1246192/
Alchemy in Dungeon,80,$2.99,$0.59,,,,https://store.steampowered.com/app/3092500/
Arobynn: Sword of Adventure,80,$2.99,$0.59,,,,https://store.steampowered.com/app/3342080/
Where is Mr Cloud,80,$2.99,$0.59,,,,https://store.steampowered.com/app/2419870/
OnlyRun,80,$2.99,$0.59,,,,https://store.steampowered.com/app/2520180/
Super Jigsaw Puzzle: Generations - Paintings 2,80,$2.99,$0.59,,,,https://store.steampowered.com/app/2212542/
Warp Rush,80,$2.99,$0.59,,,,https://store.steampowered.com/app/4450710/
Rubble Rampage,80,$2.99,$0.59,,,,https://store.steampowered.com/app/4450730/
Forest Curse,80,$2.99,$0.59,,,,https://store.steampowered.com/app/4450740/
House Tidy 2,80,$2.99,$0.59,,,,https://store.steampowered.com/app/4452690/
Dice of Fate 2,80,$2.99,$0.59,,,,https://store.steampowered.com/app/4452770/
Rapid Ascent,80,$2.99,$0.59,,,,https://store.steampowered.com/app/4381820/
Distorted Signal,80,$2.99,$0.59,,,,https://store.steampowered.com/app/4301770/
FJN Blackjack Cup,80,$2.99,$0.59,,,,https://store.steampowered.com/app/3556680/
Dice of Fate,80,$2.99,$0.59,,,,https://store.steampowered.com/app/4309870/
Mind Within,80,$2.99,$0.59,,,,https://store.steampowered.com/app/3725860/
Thief’s Riddles,80,$2.99,$0.59,,,,https://store.steampowered.com/app/3716670/
The Royal Rebel Casino,80,$2.99,$0.59,,,,https://store.steampowered.com/app/3508030/
Underhero,80,$3.19,$0.63,91,691,positive,https://store.steampowered.com/app/573320/
