Game,Discount %,Original,Final,Review % positive,Reviews,Review label,Store URL
Gal*Gun: Double Peace - 'You're A Squid Now' Costume Set,86,$3.29,$0.46,,,,https://store.steampowered.com/app/539930/
Gal*Gun: Double Peace - 'Cunning Kunoichi' Costume Set,86,$3.29,$0.46,,,,https://store.steampowered.com/app/539780/
Gal*Gun: Double Peace - 'Prisoner of Love' Costume Set,86,$3.29,$0.46,,,,https://store.steampowered.com/app/539960/
Gal*Gun: Double Peace - 'Queen of Pain' Costume Set,86,$3.29,$0.46,,,,https://store.steampowered.com/app/539900/
Gal*Gun: Double Peace - 'Summer Vacation' Costume Set,86,$3.29,$0.46,,,,https://store.steampowered.com/app/539940/
Gal*Gun: Double Peace - 'Captivating Dancer' Costume Set,86,$3.29,$0.46,,,,https://store.steampowered.com/app/539890/
Gal*Gun: Double Peace - 'Blast From the Past' Costume Set,86,$3.29,$0.46,,,,https://store.steampowered.com/app/539920/
Gal*Gun: Double Peace - 'Sakurazaki Squad 777' Costume Set,86,$3.29,$0.46,,,,https://store.steampowered.com/app/539810/
Gal*Gun: Double Peace - 'Festival Time' Costume Set,86,$3.29,$0.46,,,,https://store.steampowered.com/app/539820/
Gal*Gun: Double Peace - 'Wedding Dress' Costume Set,86,$3.29,$0.46,,,,https://store.steampowered.com/app/539790/
Gal*Gun: Double Peace - 'Bewitching Sorceress' Costume Set,86,$3.29,$0.46,,,,https://store.steampowered.com/app/539870/
Gal*Gun: Double Peace - 'Courageous Hero' Costume Set,86,$3.29,$0.46,,,,https://store.steampowered.com/app/539860/
Gal*Gun: Double Peace - 'Bunny Kigurumi' Costume Set,86,$3.29,$0.46,,,,https://store.steampowered.com/app/539830/
Gal*Gun: Double Peace - 'Ripped Uniform' Costume Set,86,$3.29,$0.46,,,,https://store.steampowered.com/app/537120/
Gal*Gun: Double Peace - 'Bear Kigurumi' Costume Set,86,$3.29,$0.46,,,,https://store.steampowered.com/app/539970/
Pinball Storm: Lokanta,86,$3.49,$0.48,69,439,mixed,https://store.steampowered.com/app/2642570/
Atonement: Scourge of Time,86,$3.49,$0.48,72,175,positive,https://store.steampowered.com/app/385070/
Incitement 3,86,$3.49,$0.48,68,63,mixed,https://store.steampowered.com/app/391660/
Abandoned Cabins in the Woods,86,$3.60,$0.50,,,,https://store.steampowered.com/app/2678950/
My Grandpa's Haunted House,86,$3.60,$0.50,,,,https://store.steampowered.com/app/2870070/
The Haunted Tunnel,86,$3.99,$0.55,,,,https://store.steampowered.com/app/1539970/
Atonement 2: Ruptured by Despair,86,$5.99,$0.83,74,71,positive,https://store.steampowered.com/app/533820/
Spelunker Party!,86,$10.49,$1.46,86,79,positive,https://store.steampowered.com/app/629860/
Super Jigsaw Puzzle: Generations - Malaysia,85,$3.00,$0.45,,,,https://store.steampowered.com/app/2400090/
NecroVision,85,$3.29,$0.49,68,1413,mixed,https://store.steampowered.com/app/7860/
Skillful Pixel Dungeon,85,$3.29,$0.49,,,,https://store.steampowered.com/app/4696680/
CosmoDrive:Infinity,85,$3.29,$0.49,,,,https://store.steampowered.com/app/1375280/
Coffee Mania,85,$3.29,$0.49,,,,https://store.steampowered.com/app/2875450/
Eggo,85,$3.49,$0.52,83,310,positive,https://store.steampowered.com/app/3700760/
Black Moon Chronicles,85,$3.49,$0.52,92,26,positive,https://store.steampowered.com/app/501500/
The Dark Tones: Loss,85,$3.49,$0.52,87,16,positive,https://store.steampowered.com/app/2435600/
Nullwake,85,$3.49,$0.52,78,14,positive,https://store.steampowered.com/app/4073560/
Super Jigsaw Puzzle: Generations - USA Puzzles,85,$3.49,$0.52,,,,https://store.steampowered.com/app/1076092/
Super Jigsaw Puzzle: Generations - Cars Puzzles,85,$3.49,$0.52,,,,https://store.steampowered.com/app/1213491/
Super Jigsaw Puzzle: Generations - Puppies 2,85,$3.49,$0.52,,,,https://store.steampowered.com/app/1817090/
Super Jigsaw Puzzle: Generations - Japan Puzzles,85,$3.49,$0.52,,,,https://store.steampowered.com/app/1246185/
Super Jigsaw Puzzle: Generations - Ice Creams,85,$3.49,$0.52,,,,https://store.steampowered.com/app/2023091/
Super Jigsaw Puzzle: Generations - Chile,85,$3.49,$0.52,,,,https://store.steampowered.com/app/2097000/
Super Jigsaw Puzzle: Generations - Jellyfishes,85,$3.49,$0.52,,,,https://store.steampowered.com/app/2102381/
Super Jigsaw Puzzle: Generations - Clocks,85,$3.49,$0.52,,,,https://store.steampowered.com/app/1781410/
Super Jigsaw Puzzle: Generations - Reptiles,85,$3.49,$0.52,,,,https://store.steampowered.com/app/1502320/
Super Jigsaw Puzzle: Generations - Canada,85,$3.49,$0.52,,,,https://store.steampowered.com/app/1737630/
Super Jigsaw Puzzle: Generations - Winter 2021,85,$3.49,$0.52,,,,https://store.steampowered.com/app/1737632/
Super Jigsaw Puzzle: Generations - Butterflies,85,$3.49,$0.52,,,,https://store.steampowered.com/app/1939081/
